filepath,label
arctic_vegetation/20230724_riparianshrub32_m3m/MOSS/tile_06390.png,5
arctic_vegetation/20230724_riparianshrub32_m3m/MOSS/tile_06391.png,5
arctic_vegetation/20230724_riparianshrub32_m3m/MOSS/tile_06392.png,5
arctic_vegetation/20230724_riparianshrub32_m3m/MOSS/tile_06393.png,5
arctic_vegetation/20230724_riparianshrub32_m3m/WILL/tile_06520.png,11
arctic_vegetation/20230724_riparianshrub32_m3m/WILL/tile_06521.png,11
arctic_vegetation/20230724_riparianshrub32_m3m/WILL/tile_06522.png,11
arctic_vegetation/20230724_riparianshrub32_m3m/WILL/tile_06523.png,11
arctic_vegetation/20230724_riparianshrub32_m3m/WILL/tile_06524.png,11
arctic_vegetation/20230724_riparianshrub32_m3m/WILL/tile_06525.png,11
arctic_vegetation/20230724_riparianshrub32_m3m/WILL/tile_06526.png,11
arctic_vegetation/20230724_riparianshrub32_m3m/WILL/tile_06527.png,11
arctic_vegetation/20230724_riparianshrub32_m3m/WILL/tile_06528.png,11
arctic_vegetation/20230724_riparianshrub32_m3m/WILL/tile_06529.png,11
arctic_vegetation/20230724_riparianshrub32_m3m/WILL/tile_06530.png,11
arctic_vegetation/20230724_riparianshrub32_m3m/WILL/tile_06531.png,11
arctic_vegetation/20230724_riparianshrub32_m3m/WILL/tile_06532.png,11
arctic_vegetation/20230724_riparianshrub32_m3m/WILL/tile_06533.png,11
arctic_vegetation/20230724_riparianshrub32_m3m/MOSS/tile_06570.png,5
arctic_vegetation/20230724_riparianshrub32_m3m/MOSS/tile_06571.png,5
arctic_vegetation/20230724_riparianshrub32_m3m/MOSS/tile_06572.png,5
arctic_vegetation/20230724_riparianshrub32_m3m/MOSS/tile_06573.png,5
arctic_vegetation/20230724_riparianshrub32_m3m/WILL/tile_06700.png,11
arctic_vegetation/20230724_riparianshrub32_m3m/WILL/tile_06701.png,11
arctic_vegetation/20230724_riparianshrub32_m3m/WILL/tile_06702.png,11
arctic_vegetation/20230724_riparianshrub32_m3m/WILL/tile_06703.png,11
arctic_vegetation/20230724_riparianshrub32_m3m/WILL/tile_06704.png,11
arctic_vegetation/20230724_riparianshrub32_m3m/WILL/tile_06705.png,11
arctic_vegetation/20230724_riparianshrub32_m3m/WILL/tile_06706.png,11
